player_id,game_id,time_end,team,mean,std
75,146,2006-01-23 20:38:30,6,32.7491538692,3.53179249182
267,263,2006-01-28 22:09:09,3,31.3537401419,4.00905948198
610,753,2006-01-31 07:27:32,1,30.1434478269,3.1691095048
789,1021,2006-01-29 07:12:33,1,31.2939538551,6.25332421946
696,1065,2006-02-02 03:24:33,1,23.5432051121,4.17323148715
297,1104,2006-02-02 18:15:33,2,28.3421580356,2.20128667872
862,1215,2006-02-07 02:49:12,1,29.8580718504,3.45377094178
913,1257,2006-02-02 02:48:03,2,33.0312140026,6.37352767828
37412,1605097,,4,,
414,1440,2006-02-08 02:55:20,3,29.1867283664,2.52666282898
95870,1607405,,6,,
77482,1606823,2008-01-17 21:19:53,2,29.4879581541,1.37409457497
581,2472,2006-02-14 19:29:55,2,31.3442098835,1.79726213132
821,2628,2006-02-10 07:27:32,1,26.3023443401,2.40873823329
1094,3302,2006-02-15 04:06:47,5,32.3278468942,3.20208879953
1498,3543,2006-02-19 02:12:21,2,23.7192576734,2.31309322388
2121,4443,2006-02-28 01:22:44,2,20.8655606938,2.88759829897
2149,4534,2006-02-28 21:40:53,2,25.7665900524,3.58498424811
803,4553,2006-02-27 19:51:55,1,29.6570194844,2.31139304384
1965,4632,2006-02-25 23:10:46,1,24.7760274572,2.60242876386
1908,4771,2006-03-03 13:34:52,1,28.7687111686,1.95599921588
139036,1605295,,4,,
64,5260,2006-04-13 10:01:49,1,30.672441367,1.66835808803
1064,5334,2006-03-12 08:41:50,4,28.8439988482,2.3032435553
1403,5361,2006-03-03 07:37:11,3,26.2908635839,2.17677342783
874,5436,2006-03-02 18:43:35,3,26.6456534184,1.64706093957
1523,5661,2006-03-05 22:49:06,1,30.2519228709,3.29360569851
673,5824,2006-03-09 02:47:41,2,29.2786888675,2.13660765641
149,6184,2006-03-08 20:17:38,4,31.7379566948,1.18391574901
1478,6314,2006-03-06 02:10:33,1,29.3797768454,1.67456311522
828,6527,2006-03-09 19:11:28,1,29.9206073769,1.57570565464
2584,6593,2006-03-11 07:22:42,1,29.8080220158,2.8375531903
2661,6836,2006-03-17 08:46:09,2,31.2263265454,2.6505667475
1979,7022,2006-03-14 17:09:55,2,26.09535359,2.08672317191
2724,7179,2006-03-20 23:48:06,4,32.7777376281,5.82675914629
105139,1607697,,3,,
50840,1607697,,4,,
2939,7821,2006-03-26 16:41:04,4,36.7507727007,4.9728554672
903,7999,2006-03-19 00:32:53,1,29.5174542034,1.19987009834
1169,8090,2006-03-21 20:46:45,4,32.4734889283,1.81430214568
1430,8478,2006-03-20 03:58:42,2,25.7700176701,1.35120637226
2359,8901,2006-03-28 07:12:44,3,31.7940663647,2.01110253483
2443,8989,2006-03-27 18:44:33,3,31.4337393636,2.69414888829
2570,9176,2006-03-23 21:37:06,3,29.6342337859,2.20324476989
2395,9663,2006-03-22 12:20:35,2,25.873470555,2.33037387676
2879,9739,2006-03-24 00:30:00,1,30.6503146902,1.69950092326
2395,9859,2006-03-25 13:37:07,3,26.3904682237,2.11433849123
2537,9935,2006-03-27 21:50:03,6,27.761554334,2.68811195441
2979,9999,2006-04-03 23:04:10,6,21.2294387887,3.84752046815
2507,10222,2006-03-28 17:40:08,5,30.8754727136,1.77759670378
2641,10236,2006-03-28 14:59:14,5,28.9794942733,1.79473922409
175459,1607624,,6,,
23907,1605397,,3,,
1692,10460,2006-04-02 17:40:09,1,30.0233219885,4.07800457281
698,10586,2006-04-02 15:28:07,5,29.8339439376,0.69933179423
2606,10837,2006-03-29 19:03:38,2,28.6435098984,2.09077066509
720,10982,2006-04-03 03:03:35,2,27.4309918073,1.4215617623
2166,11043,2006-04-03 16:26:30,2,27.7621490462,1.48287511827
1444,11179,2006-04-01 23:54:20,2,25.8106073797,2.40575578552
